method,accuracy,precision,recall,f1_score,method_type,description
Frequency Threshold,0.77548353981475,1.0,0.33312543312543313,0.49976607579144355,Traditional,基于频率阈值的异常检测 (阈值=7.000)
Duration Threshold,0.7005062877674343,1.0,0.11042273042273042,0.19888413195701288,Traditional,基于持续时间阈值的异常检测 (阈值=4.807)
Severity Threshold,0.6633303002729755,0.0,0.0,0.0,Traditional,基于严重程度阈值的异常检测 (阈值=5.109)
Composite Climate Index,0.6633303002729755,0.0,0.0,0.0,Traditional,复合气候指数异常检测 (阈值=0.8)
Statistical Outlier (3-sigma),0.6796248337649612,1.0,0.0483991683991684,0.09232965812643769,Traditional,统计异常值检测 (3-sigma规则)
AutoEncoder,0.7537761601455869,0.7868241143567433,0.3684823284823285,0.5019114773596126,AI/ML,"AutoEncoder无监督异常检测 (仅正常数据训练, 阈值=0.655435)"
